"codigo"	"titulo"	"precio"	"url"	"descripcion"
"1"	"r211320037"	"CORTIJO EN CIEZA"	"54.000€"	"http://www.milanuncios.comcortijo-en-cieza-211320037.htm"	" Dentro de la finca encontramos dos casas para restaurar,  una de ellas es de 75m2 y la segunda casa que encontramos es de 45m2.  Dispone de un terreno en producción de limoneros,  naranjos,  paraguayos y olivo"
"2"	"r197262370"	"BARRATERA , , PRESA"	"36.000€"	"http://www.milanuncios.combarratera-presa-197262370.htm"	" 3 tahullas en la zona de la presa junto al rio , zona de esparcimiento con puente para cruzar el rio , riego de acequia , caseta de aperos , las fotos son de alli"
"3"	"r214412702"	"BUSCO TIERRA"	"9.000€"	"http://www.milanuncios.combusco-tierra-214412702.htm"	" 1 a 5 tahúllas con agua o secano a 10km máx de Cieza"
"4"	"r214411759"	"TIERRA"	"9.000€"	"http://www.milanuncios.comtierra-214411759.htm"	" busco tierra  o monte de 1a 5 tahúllas con agua o de secano"
"5"	"r189496564"	"CARRETERA DE JUMILLA, PARAJE DEL PICARCHO"	"70.000€"	"http://www.milanuncios.comcarretera-de-jumilla-paraje-del-picarcho-189496564.htm"	" Terreno situado en la carretera de Jumilla,  en el paraje del picarcho,  junto a la carretera.  Dispone de acceso agua , un almacen y una casa.  PARA MAS INFORMACION CONTACTEN AL TELEFONO. "
"6"	"r214137722"	"PARCELA EN POLIGONO DE ASCOY DETRAS DE P"	"26.000€"	"http://www.milanuncios.comparcela-en-poligono-de-ascoy-detras-de-p-214137722.htm"	" hola vendo parcela en ascoy cerca de pitiso tiene alcantarillado y agua potable y luz lo vendo en 26000<U+0080> no respondo ameil gracias"
"7"	"r86274875"	"CAMPO DE 3500MTROS URGE SU VENTA"	"40.000€"	"http://www.milanuncios.comcampo-de-3500mtros-urge-su-venta-86274875.htm"	" vendo campo de 3500mtros,  esta recien aballado, urge su venta,  cerca del estanco el ventorillo,  carretera calasparra a 2kilometros de cieza, precio negociable cieza"
"8"	"r212488029"	"PARAJE LA PARRA"	"40.000€"	"http://www.milanuncios.comparaje-la-parra-212488029.htm"	" El terreno tiene tres alturas o niveles,  se encuentra vallado con tres accesos,  una puerta por la que se accede desde un camino de tierra,  otra en la parte contraria del terreno desde la que se accede por carretera y otro acceso que linda con otra propiedad.  Tiene dos edificaciones cubiertas una casa (cocina,  comedor) de 23m²,  una cochera de 79m² con baño.  Un corral de 9m² y 4 perreras de 40m² en total,  con fosa séptica independiente.  Luz (electricidad) y agua de riego tradicional.  Diversos frutales. "
"9"	"r195264749"	"LA SERRANA"	"70.000€"	"http://www.milanuncios.comla-serrana-195264749.htm"	" 2 parcelas de 5. 000 m2 cada una.  una de ellas con almacén de 20 m2.  agua de la comunidad de regantes.  casa con salón con chimenea,  cocina con lavadero,  1 dormitorio y 1 baño.  posibilidad de construir 40 m2.  se accede por camino de asfalto y tan sólo 100 m de camino de tierra. "
"10"	"r193041980"	"FINCA"	"64.500€"	"http://www.milanuncios.comfinca-193041980.htm"	" Se vende parcela con unas excelentes vistas a la Atalaya,  Almorchon,  a 5 min.  de Cieza,  gasolinera a 1 kms y otros servicios,  restaurante,  Supermercado.     La parcela dispone de:     Agua potable,   Luz,   Agua de regadio,    alcantarillado.     Ubicación inmejorable para realizar una casa de campo. "
"11"	"r207627192"	"CARRETERA CIEZA-CALASPARRA"	"24.000€"	"http://www.milanuncios.comcarretera-cieza-calasparra-207627192.htm"	" Terreno llamo en barbecho de secano lindando al regadío  Comunidad de regantes y pozos cercanos. "
"12"	"r182810545"	"PARCELA DE 7 TAHÚLLAS"	"57.000€"	"http://www.milanuncios.comparcela-de-7-tahullas-182810545.htm"	" 7 Tahúllas (7. 826 m2) en paraje de Los Charcos.  Agua de riego.  Luz.  Almacén. "
